field	category	type_or_unit	definition	interpretation_or_caution
FPocket	Pocket detection and conservation	Software	Open-source tool that detects cavities using Voronoi tessellation and alpha spheres and reports geometry and physicochemical descriptors.	Its pocket and druggability scores support triage but are not experimental binding evidence.
Alpha sphere	Pocket detection and conservation	Geometric object	Sphere contacting four protein atoms without containing another atom, used by FPocket to describe cavity geometry.	Collections of alpha spheres define predicted pockets; they are computational constructs rather than atoms or ligands.
P2Rank	Pocket detection and conservation	Software	Machine-learning method used here to rescore and rerank the exact FPocket pocket set.	It does not define an independent cavity set or provide a second experimental measurement.
fpocket-rescore	Pocket detection and conservation	P2Rank mode	P2Rank operating mode that reads FPocket cavity definitions and attaches learned scores, probabilities and revised ranks.	Pocket identity remains traceably linked to the original FPocket cavity.
rescore_2024	Pocket detection and conservation	P2Rank configuration	P2Rank model used for AlphaFold-like structures without relying on crystallographic B-factors.	It is a prioritisation model that still requires project-specific validation and expert review.
FPocket score	Pocket detection and conservation	Score	FPocket cavity score derived from geometric and physicochemical descriptors.	It is distinct from FPocket druggability and P2Rank probability; disagreement between scores is informative.
Druggability score	Pocket detection and conservation	Score (0-1)	FPocket estimate of whether cavity geometry and physicochemical properties resemble sites tractable by small molecules.	It is not observed binding, affinity or PROTAC performance; the strict top-200 gate required at least 0.50 for every assessed member.
P2Rank probability	Pocket detection and conservation	Probability-like score	Learned P2Rank output used to order the linked FPocket cavities.	It is a ranking signal, not a calibrated probability of experimental ligand binding.
Selected rank-one pocket	Pocket detection and conservation	Primary pocket	Single deterministic pocket retained for the primary stringent comparison in each assessed member.	Primary conclusions must not be silently replaced by results from alternative pocket ranks.
Top-five pocket sensitivity	Pocket detection and conservation	Sensitivity analysis	Exploratory comparison allowing any of the five highest-ranked member pockets to match under the same structural superposition.	A rescue shows sensitivity to pocket ranking and does not overwrite the rank-one primary result.
Pocket mapping fraction	Pocket detection and conservation	Fraction (0-1)	Fraction of a predicted pocket's residue associations mapped successfully to the authoritative model and FASTA sequence.	It is a data-integrity and eligibility measure, not a conservation or ligandability score.
Pocket pLDDT fraction	Pocket detection and conservation	Fraction (0-1)	Fraction of selected-pocket residues meeting the configured pLDDT confidence threshold.	It measures local coordinate confidence; it does not measure cavity quality or chemical tractability.
MAFFT	Pocket detection and conservation	Software	Multiple-sequence alignment program used to align evolutionary-group proteins and map exact FASTA pocket positions to alignment columns.	Sequence alignment can support a conserved pocket-bearing region but cannot alone establish a shared three-dimensional pocket.
Conserved component	Pocket detection and conservation	Group concept	Connected set of group members whose mapped pocket-bearing sequence regions meet the configured pairwise support rule.	Its species/member coverage describes evolutionary breadth of the region, not necessarily local three-dimensional equivalence.
Pocket sequence-region overlap	Pocket detection and conservation	Fraction (0-1)	Overlap between selected pocket-bearing regions after mapping residues to the group sequence alignment.	The primary analysis used at least 0.25 to connect supported regions; sequence overlap is not the 3D pocket-overlap metric.
Reference structure	Pocket detection and conservation	Structural role	Deterministically selected model defining the coordinate frame for within-group structural comparisons.	Other compatible member models are aligned to this reference; unrelated E3 groups are not compared to one universal reference.
Mobile structure	Pocket detection and conservation	Structural role	Member model transformed by a structural aligner's rotation matrix and translation vector into the reference coordinate frame.	The transformed coordinates are used for pocket-position tests while the original model remains unchanged.
US-align	Pocket detection and conservation	Software	Structural alignment method used as one independent backend for whole-model superposition and pocket comparison.	The strict 3D conclusion requires agreement with TM-align rather than averaging away disagreement.
TM-align	Pocket detection and conservation	Software	Structural alignment method used as the second independent backend for whole-model superposition and pocket comparison.	The strict 3D conclusion requires agreement with US-align rather than relying on one backend.
Global TM-score	Pocket detection and conservation	Score (0-1)	Length-normalised measure of global structural similarity used as a prerequisite for local pocket interpretation.	The primary rule required at least 0.50; local pocket geometry is not interpreted when the global superposition is inadequate.
Structure superposition	Pocket detection and conservation	Transformation	Alignment of a mobile protein model to the group reference using a rotation matrix and translation vector.	It places pocket coordinates in a common frame but does not prove equivalent biological function or ligand binding.
Pocket centroid	Pocket detection and conservation	3D coordinate	Arithmetic centre of the selected pocket's mapped C-alpha coordinates.	It summarises pocket position but does not describe cavity shape on its own.
Centroid separation	Pocket detection and conservation	Distance in Å	Distance between the reference pocket centroid and the transformed member pocket centroid.	The primary same-position rule required no more than 8 Å together with adequate global similarity and spatial overlap.
Symmetric pocket overlap	Pocket detection and conservation	Fraction (0-1)	Bidirectional fraction of pocket residues lying near a residue in the other transformed pocket.	It complements centroid separation so nearby but non-overlapping cavities are not treated as equivalent; the primary threshold was at least 0.50.
Local C-alpha match	Pocket detection and conservation	Residue pairing	Nearest or mutual-nearest pairing of transformed pocket C-alpha atoms within a configured distance.	The primary maximum pairing distance was 4 Å; it is a geometric correspondence, not an energetic interaction.
Matched-residue fraction	Pocket detection and conservation	Fraction (0-1)	Fraction of pocket residues participating in valid local structural matches after superposition.	The stronger conserved-3D rule required at least 0.50.
Biochemical class	Pocket detection and conservation	Residue category	Broad chemical grouping of amino-acid side chains used to compare local pocket chemistry.	Class agreement is coarser than exact residue identity and does not calculate interaction energy.
Chemical-group conservation	Pocket detection and conservation	Fraction (0-1)	Fraction of structurally matched residues whose broad biochemical classes agree.	The primary conserved-3D rule required at least 0.60 and should not be described as experimental chemical conservation.
Dual-tool agreement	Pocket detection and conservation	Decision rule	Requirement that both US-align and TM-align support the same group-level structural conclusion.	Tool disagreement remains explicit rather than being averaged into a pass.
Pharmacophore	Structure-guided chemistry	Concept	Abstract three-dimensional arrangement of interaction features useful for molecular recognition.	Here it is inferred from protein pocket residues rather than a known bound ligand, so it is a feature hypothesis rather than a measured pharmacophore.
Protein-pocket feature hypothesis	Structure-guided chemistry	Computational hypothesis	Residue-derived 3D points describing where a future ligand might need complementary hydrogen-bond, charge, aromatic or hydrophobic features.	It is not a ligand pose, docking result, interaction energy or affinity measurement.
Hydrogen-bond donor	Structure-guided chemistry	Feature class	Feature that can donate a hydrogen into a directional interaction.	Typical protein contributions include suitable N-H or O-H groups on side chains or the backbone.
Hydrogen-bond acceptor	Structure-guided chemistry	Feature class	Feature that can accept a hydrogen from a ligand donor.	Typical contributions include carbonyl oxygen or suitable side-chain heteroatoms.
Positive ionisable	Structure-guided chemistry	Feature class	Feature that can carry or present a positive charge.	Often associated with lysine- or arginine-like basic side chains.
Negative ionisable	Structure-guided chemistry	Feature class	Feature that can carry or present a negative charge.	Often associated with aspartate- or glutamate-like acidic side chains.
Aromatic feature	Structure-guided chemistry	Feature class	Feature representing an aromatic ring capable of stacking or related directional contacts.	Typically contributed by phenylalanine, tyrosine or tryptophan side chains.
Hydrophobic feature	Structure-guided chemistry	Feature class	Feature representing non-polar contact and favourable exclusion of water.	It describes a broad interaction preference and is not an energetic calculation.
Weighted Jaccard similarity	Structure-guided chemistry	Similarity (0-1)	Overlap measure applied to feature counts and binned pairwise 3D-distance summaries.	Higher values mean more similar feature patterns under the chosen representation; they do not establish shared ligand binding.
Within-panel uniqueness	Structure-guided chemistry	Score (0-1)	One minus the highest feature-pattern similarity to another assessed group in the current panel.	It is panel dependent and changes when candidates are added or removed; it is not a universal selectivity score.
Rule of three	Structure-guided chemistry	Fragment heuristic	Common fragment-like property guidelines used to retain small, chemically tractable molecules for early screening.	Passing the heuristic does not establish binding, solubility in the assay, synthetic accessibility or plant activity.
Fragment library	Structure-guided chemistry	Chemical input	Explicit collection of small molecules supplied for compatibility ranking or later screening.	No fragments can be screened when the run is prepare-only and no library has been supplied.
RDKit	Structure-guided chemistry	Software	Open cheminformatics toolkit used optionally for structure validation, rule-of-three checks and two-dimensional compatibility ranking.	The open RDKit route is not FMOPhore, FrAncestor, docking or an experimental screen.
Gemmi	Structure-guided chemistry	Software	Library used to read mmCIF coordinates and resolve chains, residues and atoms strictly.	It is a file and geometry parser; it does not score binding or chemistry.
Tier 1: high-confidence review	Structure-guided chemistry	Review tier	Candidate passing all configured chemistry gates plus stricter conservation, chemical-conservation and pocket-confidence thresholds.	It is the first expert review tier, not an experimental nomination or validated recruiter.
Tier 2: configured chemistry hand-off	Structure-guided chemistry	Review tier	Candidate passing all configured chemistry hand-off gates but not every stricter Tier 1 threshold.	It is eligible for project review before fragment prioritisation, not an automatic experimental selection.
Chemistry-ready group	Structure-guided chemistry	Decision label	Evolutionary group with sufficient mapped, conserved, confident and tractable pocket evidence for the configured chemistry hand-off.	Read the exact gates and reasons; readiness is computational and does not mean a ligand exists.
Prepare-only mode	Structure-guided chemistry	Execution mode	Run that prepares targets and feature hypotheses without requiring or screening a fragment library.	Empty fragment-ranking tables are expected in this mode and are not a failed analysis.
FMOPhore	Structure-guided chemistry	Named method	Quantum fragment molecular orbital pharmacophore method intended to identify energetic binding-site hotspots.	NOT_RUN in the current campaign; FPocket/P2Rank and the open residue-derived feature route must not be reported as FMOPhore.
FrAncestor	Structure-guided chemistry	Named method	Fragment-library design approach using molecular genealogy, properties, diversity and reaction-vector concepts.	NOT_RUN in the current campaign; the optional RDKit compatibility route is not FrAncestor.
AlphaFold3	Structure-guided chemistry	Named method	Complex-prediction system able to model proteins with nucleic acids, ligands and ions.	NOT_RUN in the current broad campaign; precomputed AlphaFold Database monomer models were used.
NOT_RUN	Structure-guided chemistry	Method status	Explicit status recording that a named method was not executed in the reported analysis.	It prevents prepared inputs or alternative open methods from being misrepresented as completed named-tool work.
E3 recruiter	PROTAC interpretation	Biological role	E3 ligase system that a bifunctional degrader recruits to ubiquitinate a protein of interest.	A computationally prioritised E3 group is only a recruiter hypothesis until biological and chemical validation.
E3-recruiting ligand	PROTAC interpretation	Molecule role	Ligand moiety designed to bind the selected E3 recruiter.	A predicted conserved pocket is only a potential handle; it does not mean a suitable ligand has been found.
Protein of interest	PROTAC interpretation	Biological target	Protein intended to be ubiquitinated and degraded by the future bifunctional molecule.	It is independently selected by the target-binding ligand rather than by the E3 pocket analysis.
Protein-of-interest-binding ligand	PROTAC interpretation	Molecule role	Ligand moiety that binds the intended degradation target.	Its affinity, attachment point and selectivity must be developed separately from the E3-recruiting ligand.
Linker	PROTAC interpretation	Molecule role	Chemical connection joining the E3-recruiting and target-binding ligands.	Length, flexibility and attachment geometry can determine whether a productive ternary complex forms.
Ternary complex	PROTAC interpretation	Molecular assembly	Complex containing the E3 recruiter, bifunctional degrader and protein of interest at the same time.	Binding of the two separate ligands does not guarantee a productive ternary geometry.
Target lysine accessibility	PROTAC interpretation	Biological requirement	Availability and positioning of target lysine residues for transfer of ubiquitin in the recruited complex.	A conserved E3 pocket does not establish that suitable target lysines will be presented to the machinery.
Ubiquitination	PROTAC interpretation	Biological process	Covalent attachment of ubiquitin to the recruited protein of interest by the cellular ubiquitin machinery.	It requires a functional recruiter and productive complex and must be tested experimentally.
Proteasomal degradation	PROTAC interpretation	Biological outcome	Destruction of a suitably polyubiquitinated target by the proteasome.	Predicted binding, pocket conservation or ubiquitination potential does not prove target degradation.
Selectivity	PROTAC interpretation	Experimental property	Preference for the intended recruiter, target and degradation outcome over alternatives.	Within-panel feature uniqueness is not a substitute for cellular or organism-level selectivity testing.
Plant uptake and activity	PROTAC interpretation	Experimental property	Ability of a compound to enter relevant plant cells or tissues, remain available and produce the intended biological effect.	These properties are outside the current computational workflow and require experimental measurement.
